asset,exchange,published_at,source,headline,text,url
RELIANCE,NSE,2026-07-10 11:00:00+00:00,gdelt:unitaid.eu,Exploring Career Opportunities In KeloLand : A Comprehensive Guide,,https://www.unitaid.eu/keloland-jobs-4j4s.html
RELIANCE,NSE,2026-07-10 11:15:00+00:00,gdelt:freepressjournal.in,"Sensex Jumps 828 Points To 77 , 569 , Nifty Climbs 244 Points To Close Above 24 , 200 As Broad - Based Buying Lifts Markets",,https://www.freepressjournal.in/business/sensex-jumps-828-points-to-77569-nifty-climbs-244-points-to-close-above-24200-as-broad-based-buying-lifts-markets
RELIANCE,NSE,2026-07-10 11:15:00+00:00,gdelt:orissapost.com,Markets rally for 2nd day ; Sensex jumps over 800 points,,https://www.orissapost.com/markets-rally-for-2nd-day-sensex-jumps-over-800-points/
RELIANCE,NSE,2026-07-10 12:30:00+00:00,gdelt:vietnamnews.vn,Tech ambitions hinge on institutional success,,https://vietnamnews.vn/opinion/1785114/tech-ambitions-hinge-on-institutional-success.html
RELIANCE,NSE,2026-07-10 12:30:00+00:00,gdelt:euronews.com,From AI to greenlash : How is climate disinformation evolving ?,,https://www.euronews.com/my-europe/2026/07/10/from-ai-to-greenlash-how-is-climate-disinformation-evolving
RELIANCE,NSE,2026-07-10 12:30:00+00:00,gdelt:moneycontrol.com,"Taking Stock : Recovery extends for second day ; Nifty tops 24 , 200 , Sensex jumps 828 pts",,https://www.moneycontrol.com/news/business/markets/taking-stock-recovery-extends-for-second-day-nifty-tops-24-200-sensex-jumps-828-pts-13970804.html
RELIANCE,NSE,2026-07-10 12:45:00+00:00,gdelt:nobat.com,જામનગર જિલ્લાના કાનાલુસમાં બે હજારની ક્ષમતા સાથેની ગ્રામ સમાજવાડીનું ખાતમુહૂર્ત,,https://www.nobat.com/news5449-nd-5382876e323237323630.html
RELIANCE,NSE,2026-07-10 13:00:00+00:00,gdelt:finanznachrichten.de,Largo Inc .: Largo Announces Receipt of Nasdaq Notification Regarding Minimum Bid Price Deficiency,,https://www.finanznachrichten.de/nachrichten-2026-07/68996944-largo-inc-largo-announces-receipt-of-nasdaq-notification-regarding-minimum-bid-price-deficiency-296.htm
RELIANCE,NSE,2026-07-10 13:00:00+00:00,gdelt:manilatimes.net,"Wrap Technologies Inc . ( NASDAQ : WRAP ) Enters Strategic Transaction , Acquires US and NATO Distribution Rights to Physics - Based Sensing Tech",,https://www.manilatimes.net/2026/07/10/tmt-newswire/globenewswire/wrap-technologies-inc-nasdaq-wrap-enters-strategic-transaction-acquires-us-and-nato-distribution-rights-to-physics-based-sensing-tech/2382348
RELIANCE,NSE,2026-07-10 13:15:00+00:00,gdelt:nakedcapitalism.com,Europe Gathering Backlash Against Palantir Hits NATO Resistance,,https://www.nakedcapitalism.com/2026/07/europes-blacklisting-of-palantir-is-gathering-pace.html
RELIANCE,NSE,2026-07-10 13:15:00+00:00,gdelt:hindi.moneycontrol.com,"Market Outlook : बाजार में लगातार दूसरे दिन दिखी तेजी , जानिए 13 जुलाई को कैसी रह सकती है सेंसेक्स - निफ्टी की चाल",,https://hindi.moneycontrol.com/news/markets/market-outlook-sensex-nifty-sees-gains-for-the-second-consecutive-day-find-out-how-the-indices-might-perform-on-july-13-2418617.html
RELIANCE,NSE,2026-07-10 13:15:00+00:00,gdelt:thestarphoenix.com,A Past - Producing Nevada Tungsten Mine Just Lit Up in Soil - and Western Star Is Already Expanding the Hunt,,https://thestarphoenix.com/press-releases/globe-newswire/a-past-producing-nevada-tungsten-mine-just-lit-up-in-soil-and-western-star-is-already-expanding-the-hunt/
RELIANCE,NSE,2026-07-10 14:15:00+00:00,gdelt:thezimbabwemail.com,How moving from single - use to reusable packaging protects firms from geopolitical turmoil - The Zimbabwe Mail How moving from single - use to reusable packaging protects firms from geopolitical turmoil | Zimbabwe News,,https://thezimbabwemail.com/agriculture/how-moving-from-single-use-to-reusable-packaging-protects-firms-from-geopolitical-turmoil/
RELIANCE,NSE,2026-07-10 14:15:00+00:00,gdelt:moneycontrol.com,Sovereignty by design : Industry applauds Gujarat new data centre policy and subsidies,,https://www.moneycontrol.com/news/india/sovereignty-by-design-industry-applauds-gujarat-s-new-data-centre-policy-and-subsidies-13971136.html
RELIANCE,NSE,2026-07-10 14:15:00+00:00,gdelt:zerohedge.com,Futures Flat As Traders Brace For Weekend Iran Escalation,,https://www.zerohedge.com/markets/futures-flat-traders-brace-weekend-iran-escalation
RELIANCE,NSE,2026-07-10 15:15:00+00:00,gdelt:vaartha.com,Stock Market : షేర్‌ మార్కెట్‌లో జోరు .. 827 పాయింట్లు లాభపడ్డ,,https://vaartha.com/business/indian-stock-market-closing-friday-sensex-nifty-it-shares-gain/740022/
RELIANCE,NSE,2026-07-10 17:30:00+00:00,gdelt:globaltimes.cn,US - India relations : Strategic clarity amid waning enthusiasm,,https://www.globaltimes.cn/page/202607/1365642.shtml
RELIANCE,NSE,2026-07-10 17:45:00+00:00,gdelt:jdsupra.com,US Legal Updates for Japanese Companies from the First Half of 2026 | Hughes Hubbard & Reed LLP,,https://www.jdsupra.com/legalnews/us-legal-updates-for-japanese-companies-5661438/
RELIANCE,NSE,2026-07-10 17:45:00+00:00,gdelt:indiainfoline.com,"Closing Bell : Sensex Surges Over 825 Points , Nifty Reclaims 24 , 200 as TCS - Led IT Rally , Lower Crude Prices and Positive Global Cues Lift Markets",,https://www.indiainfoline.com/news/markets/closing-bell-sensex-surges-over-825-points-nifty-reclaims-24200-as-tcs-led-it-rally-lower-crude-prices-and-positive-global-cues-lift-markets
RELIANCE,NSE,2026-07-10 18:00:00+00:00,gdelt:economictimes.indiatimes.com,Indigenous stealth frigate Mahendragiri set for Navy commissioning,,https://economictimes.indiatimes.com/news/defence/indigenous-stealth-frigate-mahendragiri-set-for-navy-commissioning/articleshow/132317580.cms
RELIANCE,NSE,2026-07-10 18:45:00+00:00,gdelt:lbc.co.uk,Andy Burnham open - minded over approval of more oil and gas licences in the North Sea in a bid to help reindustrialise Britain,,https://www.lbc.co.uk/article/andy-burnham-approval-oil-and-gas-licences-north-sea-5HjddRT_2/
RELIANCE,NSE,2026-07-10 19:15:00+00:00,gdelt:philstar.com,RCBC backs Yuchengco BESS project in Capiz,,https://www.philstar.com/business/2026/07/11/2541248/rcbc-backs-yuchengco-bess-project-capiz
RELIANCE,NSE,2026-07-10 19:30:00+00:00,gdelt:unitaid.eu,Understanding 24 - Hour Booking : Convenience And Flexibility In Modern Services,,https://www.unitaid.eu/24-hour-booking-3k8w.html
RELIANCE,NSE,2026-07-10 19:45:00+00:00,gdelt:dw.com,چرا آمریکا پل راه‌آهن آق‌قلا را هدف قرار داد ؟,,https://www.dw.com/fa-ir/%DA%86%D8%B1%D8%A7-%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7-%D9%BE%D9%84-%D8%B1%D8%A7%D9%87%D8%A2%D9%87%D9%86-%D8%A2%D9%82%D9%82%D9%84%D8%A7-%D8%B1%D8%A7-%D9%87%D8%AF%D9%81-%D9%82%D8%B1%D8%A7%D8%B1-%D8%AF%D8%A7%D8%AF/a-77911562
RELIANCE,NSE,2026-07-10 21:15:00+00:00,gdelt:theindianawaaz.com,"July 10 : Markets Rally Over 1 %; Nifty Reclaims 24 , 200 on IT , Banking Strength – The Indian Awaaz",,https://theindianawaaz.com/july-10-markets-rally-over-1-nifty-reclaims-24200-on-it-banking-strength/
RELIANCE,NSE,2026-07-10 21:15:00+00:00,gdelt:manilatimes.net,MDWerks Appoints Jeff Hopmayer to Board of Directors as Molecular Targeting Technology Platform Expands Across Industrial Markets,,https://www.manilatimes.net/2026/07/11/tmt-newswire/globenewswire/mdwerks-appoints-jeff-hopmayer-to-board-of-directors-as-molecular-targeting-technology-platform-expands-across-industrial-markets/2382603
RELIANCE,NSE,2026-07-10 21:30:00+00:00,gdelt:hindi.business-standard.com,"Indian stock market weekly wrap : शेयर बाजार में हफ्ते भर मची रही हलचल , रिलायंस और बैंकिंग शेयरों की दम पर आखिरी दिन हुई चौतरफा रिकवरी - indian stock market snaps weekly winning streak amid global tensions",,https://hindi.business-standard.com/markets/indian-stock-market-snaps-weekly-winning-streak-amid-global-tensions-id-536224/
RELIANCE,NSE,2026-07-10 23:15:00+00:00,gdelt:manilatimes.net,FOBI AI Inc . Announces Revocation of Failure to File Cease Trade Order,,https://www.manilatimes.net/2026/07/11/tmt-newswire/globenewswire/fobi-ai-inc-announces-revocation-of-failure-to-file-cease-trade-order/2382643
RELIANCE,NSE,2026-07-12 16:07:55+00:00,marketaux:timesofindia.indiatimes.com,"Four top-10 firms add Rs 93,000 crore in mcap despite weak market; HDFC Bank, Airtel lead gains","India Business News: NEW DELHI: Despite a weak week for benchmark indices, four of India's 10 most-valued companies added nearly Rs 93,000 crore to their combined market c.

HDFC Bank and Bharti Airtel emerged as the biggest gainers among India's top-10 most-valued firms

Performance of four gainers

HDFC Bank emerged as the biggest...",https://timesofindia.indiatimes.com/business/india-business/four-top-10-firms-add-rs-93000-crore-in-mcap-despite-weak-market-hdfc-bank-airtel-lead-gains/articleshow/132348106.cms
RELIANCE,NSE,2026-07-13 02:15:00+00:00,gdelt:thisdaylive.com,Kale : Geopolitical Shifts Offer Nigeria Historic Opportunity to Lead Africa Industrialisation – THISDAYLIVE,,https://www.thisdaylive.com/2026/07/13/kale-geopolitical-shifts-offer-nigeria-historic-opportunity-to-lead-africas-industrialisation/
RELIANCE,NSE,2026-07-13 02:15:00+00:00,gdelt:tarunmitra.in,भारत ने रूस से खरीदा रिकॉर्ड 4 . 5 अरब यूरो का कच्चा तेल,,https://www.tarunmitra.in/business/india-bought-record-crude-oil-worth-45-billion-euros-from/article-152490
RELIANCE,NSE,2026-07-13 04:45:00+00:00,gdelt:davaotoday.com,IBON : PH economic model keeping millions of Filipinos poor,,https://davaotoday.com/headline/ibon-ph-economic-model-keeping-millions-of-filipinos-poor/
RELIANCE,NSE,2026-07-13 05:45:00+00:00,gdelt:leadership.ng,Africa Yawning Energy Gap Closing With Dangote Pan - African Refining Expansion,,https://leadership.ng/africas-yawning-energy-gap-closing-with-dangotes-pan-african-refining-expansion/
RELIANCE,NSE,2026-07-13 06:15:00+00:00,gdelt:organiser.org,PM Modi global diplomacy highlights Xi Jinping absence,,https://organiser.org/2026/07/13/369548/bharat/coup-fears-in-china-why-president-xi-staying-home-while-pm-modi-expands-indias-global-diplomatic-footprint/
RELIANCE,NSE,2026-07-13 06:15:00+00:00,gdelt:economictimes.indiatimes.com,"Goldman Sachs pegs Nifty target at 26 , 500 by June 2027 ; lists 15 stocks from key themes",,https://economictimes.indiatimes.com/markets/stocks/news/goldman-sachs-pegs-nifty-target-at-26500-by-june-2027-lists-15-stocks-from-key-themes/articleshow/132357525.cms
RELIANCE,NSE,2026-07-13 07:45:00+00:00,gdelt:thehindubusinessline.com,"Q1 Results 13th July Live : HCL Tech shares jump ahead of results , ICICI Prudential AMC , Nuvoco Vistas Corporation , Bajaj Consumer Care , Khaitan Chemicals to announce Q1 results , Krishana Phoschem Q1 profit dips",,https://www.thehindubusinessline.com/markets/q1-results-today-live-updates-hcl-technologies-icici-prudential-asset-management-company-nuvoco-vistas-corporation-bajaj-consumer-care-khaitan-chemicals-dmart-ltm-results-13-july-2026/article71215924.ece
RELIANCE,NSE,2026-07-13 07:45:00+00:00,gdelt:livemint.com,"ICICI Prudential Large Cap Fund portfolio : 3 new stocks added , GAIL among 4 exits in June",,https://www.livemint.com/money/personal-finance/icici-prudential-large-cap-fund-portfolio-3-new-stocks-added-gail-among-4-exits-in-june-11783924215678.html
RELIANCE,NSE,2026-07-13 07:45:00+00:00,gdelt:prnewswire.com,"Rock Tech Lithium Awarded $262 , 500 from Ontario Critical Minerals Innovation Fund to Advance Made - in - Ontario Lithium Supply Chain",,https://www.prnewswire.com/news-releases/rock-tech-lithium-awarded-262-500-from-ontarios-critical-minerals-innovation-fund-to-advance-made-in-ontario-lithium-supply-chain-302823582.html
RELIANCE,NSE,2026-07-13 08:15:00+00:00,gdelt:moneycontrol.com,Devson Catalyst SME IPO subscribed over 78x on Day 3 so far ; GMP surges to 38 %,,https://www.moneycontrol.com/news/business/ipo/devson-catalyst-sme-ipo-subscribed-over-78x-on-day-3-so-far-gmp-surges-to-38-13972467.html
RELIANCE,NSE,2026-07-13 08:15:00+00:00,gdelt:fnnews.com,AI 주권  시대 ... K - AI 생태계 구축 전략 시급,,https://www.fnnews.com/news/202607131211316765
RELIANCE,NSE,2026-07-13 08:30:00+00:00,gdelt:unitaid.eu,Exploring Metro Nashville Jobs Openings : Your Guide To Careers In Music City Public Sector,,https://www.unitaid.eu/openings-your-guide-careers-music-y6fg.html
RELIANCE,NSE,2026-07-13 08:45:00+00:00,gdelt:mining.com,Press Release,,https://www.mining.com/press-release?id=6a5491b28aa7edd799c69e70
RELIANCE,NSE,2026-07-13 08:45:00+00:00,gdelt:geeky-gadgets.com,XREAL Aura Hands - on : Testing the Hybrid AR / VR Headset,,https://www.geeky-gadgets.com/xreal-aura-hands-on/
RELIANCE,NSE,2026-07-13 09:45:00+00:00,gdelt:stockhouse.com,2026 - 07 - 13 | Myriad Uranium Provides Update on Process to Close Acquisition of Rush Rare Metals : Rush Information Circular Has Been Filed and Meeting Date Set | CSE : M,,https://stockhouse.com/news/press-releases/2026/07/13/myriad-uranium-provides-update-on-process-to-close-acquisition-of-rush-rare
RELIANCE,NSE,2026-07-13 09:45:00+00:00,gdelt:sunlive.co.nz,SunLive - Hopes forestry bio hub bid would bring jobs - The Bay News First,,https://www.sunlive.co.nz/news/383090-hopes-forestry-bio-hub-bid-would-bring-jobs.html
RELIANCE,NSE,2026-07-13 10:45:00+00:00,gdelt:countercurrents.org,Google - Raiden - Adani Data Centres in Vizag involve extensive environmental damage and gross human rights violations,,https://countercurrents.org/2026/07/google-raiden-adani-data-centres-in-vizag-involve-extensive-environmental-damage-and-gross-human-rights-violations/
RELIANCE,NSE,2026-07-13 10:45:00+00:00,gdelt:ibtimes.co.uk,Small - Cap Stocks Are Beating the S & P 500 by the Widest Margin Since 2003 : Is This Vanguard ETF the Top Choice ?,,https://www.ibtimes.co.uk/vanguard-small-cap-etfs-investment-opportunities-1808282
RELIANCE,NSE,2026-07-13 10:45:00+00:00,gdelt:theepochtimes.com,China Helium Export Ban Raises New Risks for Global Supply Chains,,https://www.theepochtimes.com/china/chinas-helium-export-ban-raises-new-risks-for-global-supply-chains-6060794
RELIANCE,NSE,2026-07-13 11:00:00+00:00,gdelt:portal.sina.com.hk,Compass Diversified Announces Amendments to Management Services Agreement Reducing Management Costs and Further Strengthening Shareholder Alignment,,https://portal.sina.com.hk/finance/finance-globenewswire/globenewswire/2026/07/13/1852958/compass-diversified-announces-amendments-to-management-services-agreement-reducing-management-costs-and-further-strengthening-shareholder-alignment/
RELIANCE,NSE,2026-07-13 11:00:00+00:00,gdelt:brazilsun.com,Column : How China sci - tech strategy is shaping global development,,http://www.brazilsun.com/news/279184127/column-how-china-sci-tech-strategy-is-shaping-global-development
RELIANCE,NSE,2026-07-13 11:00:00+00:00,gdelt:24sata.hr,AI ratovi : Zašto je potraga za  najboljim  modelom opasna,,https://www.24sata.hr/tech/ai-ratovi-zasto-je-potraga-za-najboljim-modelom-opasna-1140935
RELIANCE,NSE,2026-07-13 11:15:00+00:00,gdelt:hindi.business-standard.com,विदेशी निवेशकों की होगी जोरदार वापसी ? ग्लोबल ब्रोकरेज ने बताए टॉप 15 शेयर और सेक्टर - goldman sachs turns bullish on india sees nifty at 26500 by june 2027 banks defence among top bets,,https://hindi.business-standard.com/markets/goldman-sachs-turns-bullish-on-india-sees-nifty-at-26500-by-june-2027-banks-defence-among-top-bets-id-536544
RELIANCE,NSE,2026-07-13 12:15:00+00:00,gdelt:thehindubusinessline.com,"Markets stage comeback amid global sell - off , IT earnings boost",,https://www.thehindubusinessline.com/markets/stock-markets/markets-stage-comeback-amid-global-sell-off-it-earnings-boost/article71217095.ece
RELIANCE,NSE,2026-07-13 12:45:00+00:00,gdelt:forbes.com,​Fine ‑ Tuned SLMs : A New Operating Model For Enterprise AI,,https://www.forbes.com/councils/forbestechcouncil/2026/07/13/finetuned-slms-a-new-operating-model-for-enterprise-ai/
RELIANCE,NSE,2026-07-13 12:45:00+00:00,gdelt:whp580.iheart.com,Shapiro Signs $50 . 8 Billion Pennsylvania Budget,,https://whp580.iheart.com/content/2026-07-13-shapiro-signs-508-billion-pennsylvania-budget/
RELIANCE,NSE,2026-07-13 13:15:00+00:00,gdelt:montrealgazette.com,AI Infrastructure Boom Drives Taiwan Suppliers Toward U . S . Manufacturing Expansion,,https://montrealgazette.com/press-releases/globe-newswire/ai-infrastructure-boom-drives-taiwan-suppliers-toward-u-s-manufacturing-expansion/
RELIANCE,NSE,2026-07-13 13:30:00+00:00,gdelt:manilatimes.net,NEXBOARD™ Demonstrates Exceptional Properties in Independent Third - Party Testing,,https://www.manilatimes.net/2026/07/13/tmt-newswire/globenewswire/nexboard-demonstrates-exceptional-properties-in-independent-third-party-testing/2383335
RELIANCE,NSE,2026-07-13 13:30:00+00:00,gdelt:geeky-gadgets.com,"Microsoft Copilot Cowork Review : Great Features , High Cost",,https://www.geeky-gadgets.com/microsoft-copilot-cowork-review/
RELIANCE,NSE,2026-07-13 15:15:00+00:00,gdelt:finanznachrichten.de,"Mordor Intelligence Private Limited : Acidity Regulators Market to Hit $14 . 22 Billion by 2031 , Driven by Food Safety Compliance & Clean - Label Reformulation",,https://www.finanznachrichten.de/nachrichten-2026-07/69012788-mordor-intelligence-private-limited-acidity-regulators-market-to-hit-dollar-14-22-billion-by-2031-driven-by-food-safety-compliance-clean-label-reformula-008.htm
RELIANCE,NSE,2026-07-13 15:45:00+00:00,gdelt:economictimes.indiatimes.com,Sunil Singhania - backed Abakkus Flexi Cap Fund exits 3 Vedanta group companies after demerger . Check complete list,,https://economictimes.indiatimes.com/mf/analysis/sunil-singhania-backed-abakkus-flexi-cap-fund-exits-vedanta-group-companies-after-demerger-and-1-more/articleshow/132356728.cms
RELIANCE,NSE,2026-07-13 15:45:00+00:00,gdelt:hindi.business-standard.com,"Jio Platforms IPO : Jio IPO से पहले बड़ा बदलाव ! किरण थॉमस की जगह पंकज पवार बने CEO , जानिए क्या है पूरा मामला - jio ipo pankaj pawar replaces kiran thomas as ceo ahead of public issue",,https://hindi.business-standard.com/markets/ipo/jio-ipo-pankaj-pawar-replaces-kiran-thomas-as-ceo-ahead-of-public-issue-id-536684
RELIANCE,NSE,2026-07-13 16:00:00+00:00,gdelt:prnewswire.com,CREFC 2Q 2026 BOG Sentiment Index Steadies Near Baseline as CRE Finance Sentiment Moves from Shock to Caution,,http://www.prnewswire.com/news-releases/crefcs-2q-2026-bog-sentiment-index-steadies-near-baseline-as-cre-finance-sentiment-moves-from-shock-to-caution-302823912.html
RELIANCE,NSE,2026-07-13 16:30:00+00:00,gdelt:sci-tech-today.com,"SMS Marketing By Market , Industry And Demographics ( 2026 )",,https://www.sci-tech-today.com/stats/sms-marketing-updated/
RELIANCE,NSE,2026-07-13 16:30:00+00:00,gdelt:mondaq.com,"Tariffs , Turmoil And Tax Refunds : Turning Uncle Sam IOU Into Cash In Bankruptcy , - Insolvency / Bankruptcy",,https://www.mondaq.com/unitedstates/insolvencybankruptcy/1816290/tariffs-turmoil-and-tax-refunds-turning-uncle-sams-iou-into-cash-in-bankruptcy
RELIANCE,NSE,2026-07-13 16:30:00+00:00,gdelt:sci-tech-today.com,Glassdoor Statistics By Industry And Demographics ( 2026 ),,https://www.sci-tech-today.com/stats/glassdoor-statistics-updated/
